-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0001
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Filtros aplicados
[Cliente.: 00001 - 00001]    [Contrato.: 000001 - 000001]  [Loja.: 00000 - 99999]        [Rede.: 0000 - 9999]          [Serviço.: 00000 - 99999]
[Dia Faturamento.: 01 - 31]  [Competência: 10/2020]
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Cliente: 00001   CNPJ: 77.752.293/0001-98 - COOPERATIVA AGROINDUSTRIAL LAR                     - LAR
"OUTROS MEDIANEIRA, 1220, SALA 05, CEP 85884-000 - MEDIANEIRA - PR  Obs.:"
"00063-DIARIAS C/ 4 HRS     0254 00854 PE OLINDA                    VARADOURO                AV. PAN NORDESTINA,778               00000006238517     2.280,56          0,00  01/10/2020 31/10/2020"
"00063-DIARIAS C/ 4 HRS     0255 00855 PE RECIFE                    CAXANGA                  RUA PROFESSOR JOAQUIM CAVALCANTI,721 00000006238520     2.280,56          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0008
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00063-DIARIAS C/ 4 HRS     0256 00856 PE JABOATAO DOS GUARARAPES   GUARARAPES               AV. BARRETO DE MENEZES,958           00000006507358     2.280,56          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0257 00857 PE CARUARU                   PETROPOLIS               AV. JOAO DE BARROS,101               00000006597973     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0258 00858 PE CAMARAGIBE                NAZARE                   AV. DOUTOR BELMINO CORREIA,4384      00000006884194     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0259 00859 PE IGARASSU                  CRUZ DO REBOUCAS         RODOVIA BR 101 NORTE,KM 47           00000006105919     1.003,37          0,00  01/10/2020 31/10/2020"
"00063-DIARIAS C/ 4 HRS     0260 05003 PE RECIFE                    IMBIRIBEIRA              RUA FRANCISCO CORREIA DE MORAIS,100  00000006112749     1.003,37          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0261 11415 PE CARUARU                   NOVA CARUARU             RODOVIA BR-104,2056                  00000006117745     1.349,59          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0262 00860 PI TERESINA                  BELA VISTA               AV. PREFEITO WALL FERRAZ,10197       00000006922904     1.003,37          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0263 00861 PI TERESINA                  REAL COPAGRI             AV. DUQUE DE CAXIAS,2732             00000006884233     1.003,37          0,00  01/10/2020 31/10/2020"
"00143-6 VISITAS - 2H       0264 12271 PI PICOS                     BOMBA                    AV. DEPUTADO RAIMUNDO DE SA URTIGA,2 00000006118902     1.175,60          0,00  01/10/2020 31/10/2020"
"00115-DIÁRIAS ATÉ 3 HORAS  0265 00880 PR CASCAVEL                  PIONEIROS CATARINENSES   AV. TANCREDO NEVES,3401              00000006920650     2.132,17          0,00  01/10/2020 31/10/2020"
"00017-6 X COM ATÉ 06 HR    0266 00881 PR FOZ DO IGUACU             VILA PEROLA              RUA NELSON DA CUNHA JUNIOR,350       00000006921196     4.264,35          0,00  01/10/2020 31/10/2020"
"00116-DIÁRIAS ATÉ 5 HORAS  0267 00882 PR LONDRINA                  JARDIM SHANGRI-LA A      AV. TIRADENTES,281                   00000006269544     2.642,95          0,00  01/10/2020 31/10/2020"
"00116-DIÁRIAS ATÉ 5 HORAS  0268 00883 PR LONDRINA                  CENTRO                   AV. BRASILIA,5650                    00000006920663     2.642,95          0,00  01/10/2020 31/10/2020"
"00017-6 X COM ATÉ 06 HR    0269 00884 PR PONTA GROSSA              CONTORNO                 AV. VISCONDE DE TAUNAY,S/N           00000006788546     4.264,35          0,00  01/10/2020 31/10/2020"
"00116-DIÁRIAS ATÉ 5 HORAS  0270 00885 PR MARINGA                   ZONA 09                  RUA FERNAO DIAS,300                  00000006269557     2.642,95          0,00  01/10/2020 31/10/2020"
"00063-DIARIAS C/ 4 HRS     0271 04892 PR SAO JOSE DOS PINHAIS      AGUAS BELAS              AV. RUI BARBOSA,7992                 00000006112042     2.280,56          0,00  01/10/2020 31/10/2020"
"00116-DIÁRIAS ATÉ 5 HORAS  0272 05404 PR MARINGA                   VILA NOVA                AV. COLOMBO,67                       00000006113993     2.642,95          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0273 11280 PR CURITIBA                  BAIRRO ALTO              RODOVIA BR-116,3041                  00000006117034     2.280,56          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0274 11907 PR CAMBE                     JARDIM UNIAO             RODOVIA MELLO PEIXOTO,1314           00000006119512     2.132,17          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0275 00806 RJ MACAE                     PARQUE AEROPORTO         RODOVIA AMARAL PEIXOTO,S/N KM 181    00000006798170     1.693,20          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0276 00809 RJ CAMPOS DOS GOYTACAZES     PARQUE GUARUS            AV. CARLOS ALBERTO CHEBABE,S/N       00000006789231     1.693,20          0,00  01/10/2020 31/10/2020"
"00177-6X ATÉ 8 HORAS       0277 00810 RJ NOVA IGUACU               CALIFORNIA               RUA ALAN KARDEC,464                  00000006680550     4.980,00          0,00  01/10/2020 31/10/2020"
"00017-6 X COM ATÉ 06 HR    0278 00812 RJ RIO DE JANEIRO            GUADALUPE                AV. BRASIL,22950                     00000006682794     4.264,35          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0279 00813 RJ SAO PEDRO DA ALDEIA       CAMPO REDONDO            ROD RJ 140,S/N                       00000006881964     1.693,20          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0280 00814 RJ RIO DE JANEIRO            SANTA CRUZ               AV. BRASIL,S/N                       00000006789244     1.693,20          0,00  01/10/2020 31/10/2020"
"00017-6 X COM ATÉ 06 HR    0281 00816 RJ RIO DE JANEIRO            VICENTE DE CARVALHO      AV. VICENTE DE CARVALHO,730          00000006646646     4.264,35          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0282 00818 RJ DUQUE DE CAXIAS           VILA ACTURA              RODOVIA WASHINGTON LUIZ,12139        00000006938930     1.693,20          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0283 00819 RJ ITABORAI                  VILA GABRIELA  MANILHA   RODOVIA BR-101 - GOV. MARIO COVAS,S/ 00000006101892     1.693,20          0,00  01/10/2020 31/10/2020"
"00017-6 X COM ATÉ 06 HR    0284 02607 RJ RIO DE JANEIRO            SÃO GONÇALO              AV. JORNALISTA ROBERTO MARINHO,S/N   00000006106260     3.036,58          0,00  01/10/2020 31/10/2020"
"00019-6x SEMANAIS - 1:30H  0285 03111 RJ RESENDE                   MIRANTE DE SERRA         AV. FRANCISCO FORTES FILHO,SN        00000006109658       899,73          0,00  01/10/2020 31/10/2020"
"00091-DIARIAS - COM ATÉ 6  0286 03261 RJ RIO DE JANEIRO            JACAREPAGUA              ESTRADA DOS BANDEIRANTES,3285        00000006110042     4.264,35          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0287 11316 RJ RIO DE JANEIRO            BENFICA                  AV. BRASIL,3700                      00000006117767     1.799,46          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0288 11317 RJ RIO DE JANEIRO            REALENGO                 RUA BERNARDO DE VASCONCELOS,702      00000006117768     1.799,46          0,00  01/10/2020 31/10/2020"
"00063-DIARIAS C/ 4 HRS     0289 00862 RN NATAL                     CANDELARIA               AV. DAO SILVEIRA,7796                00000006238546     2.280,56          0,00  01/10/2020 31/10/2020"
"00063-DIARIAS C/ 4 HRS     0290 00863 RN NATAL                     IGAPO                    AV. DOUTOR JOAO MEDEIROS FILHO,778   00000006646659     2.280,56          0,00  01/10/2020 31/10/2020"
"00063-DIARIAS C/ 4 HRS     0291 00864 RN MOSSORO                   NOVA BETANIA             AV. JOAO DA ESCOSSIA,1724            00000006684679     2.280,56          0,00  01/10/2020 31/10/2020"
"00143-6 VISITAS - 2H       0292 11247 RN PARNAMIRIM                NOVA ESPERANÇA           ROD ROD BR 101,5300                  00000006117277     1.140,28          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0293 00905 RO VILHENA                   PQ SÃO PAULO             AV. CELSO MAZUTTI,7303               00000006101427     1.053,55          0,00  01/10/2020 31/10/2020"
"00011-6 VISITAS  ATÉ 2 HO  0294 00906 RO PORTO VELHO               LAGOA                    ROD BR 364 KM 3,7081                 00000006771508     1.053,55          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0295 03025 RO JI-PARANA                 RIACHUELO                AV. TRANSCONTINENTAL,2799            00000006108685     2.109,73          0,00  01/10/2020 31/10/2020"
"00007-6x ATÉ 3:30 HORA     0296 00909 RR BOA VISTA                 BELA VISTA               AV. BRASIL,2516                      00000006939641     1.053,55          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0009
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00179-6 VISITAS - 10 HORA  0297 00873 RS GRAVATAI                  MARROCOS                 RODOVIA RS-118,2245                  00000006785840     5.285,90          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0298 00874 RS NOVO HAMBURGO             CENTRO                   RUA PRIMEIRO DE MARCO,2711           00000006792354     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0299 00875 RS PELOTAS                   FRAGATA                  AV. PRESIDENTE JOAO GOULART,6161     00000006792341     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0300 00876 RS RIO GRANDE                CARREIROS                AV. ITALIA,1343                      00000006785882     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0301 00877 RS SANTA MARIA               CAMOBI                   RODOVIA RST-287  DA EST  ARROI,5500  00000006810236     4.457,50          0,00  01/10/2020 31/10/2020"
"00179-6 VISITAS - 10 HORA  0302 00878 RS PORTO ALEGRE              SERTORIO                 AV. SERTORIO,6767                    00000006804093     5.285,90          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0303 00879 RS SAPUCAIA DO SUL           TRES PORTOS              RODOVIA BR-116,958                   00000006690537     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0304 01708 RS ESTRELA                   ESTRELA                  BR 386 ROD. GOV. LEONEL MOURA BRI,94 00000006104867     4.457,50          0,00  01/10/2020 31/10/2020"
"00018-7 HORAS - 6x SEMANA  0305 11315 RS VIAMAO                    VIAMÓPOLIS               AV. SENADOR SALGADO FILHO,4756       00000006117541     4.457,50          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0306 00886 SC ITAJAI                    CIDADE NOVA              AV. GOVERNADOR ADOLFO KONDER,555     00000006938943     2.024,39          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0307 02632 SC CHAPECO                   ENGENHO BRAUN            AV. SENADOR ATILIO FONTANA,501       00000006107248     2.024,39          0,00  01/10/2020 31/10/2020"
"00008-6 X VISITAS C/ 04H   0308 03485 SC BLUMENAU                  SALTO NORTE              OUTROS RODOVIA BR-470,3000           00000006110247     2.024,39          0,00  01/10/2020 31/10/2020"
"00017-6 X COM ATÉ 06 HR    0309 12308 SC ICARA                     PRESIDENTE VARGAS        RODOVIA SC 445,152                                      3.542,50          0,00  01/10/2020 31/10/2020"
"00006-DIARIAS              0310 00865 SE ARACAJU                   NOVO PARAISO             AV. CHANCELER OSVALDO ARANHA,2445    00000006684666     1.003,37          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0311 00721 SP SAO PAULO                 COLONIA  ZONA LESTE      ESTRADA DO PESSEGO,100               00000006277756     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0312 00722 SP SAO PAULO                 IPIRANGA                 RUA DO MANIFESTO,931                 00000006896467     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0313 00723 SP SAO PAULO                 JARDIM CASA GRANDE       AV. SENADOR TEOTONIO VILELA,8030     00000006592130     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0314 00724 SP SAO PAULO                 JARDIM DAS FLORES        ESTRADA DO M BOI MIRIM,380           00000006277743     1.102,17          0,00  01/10/2020 31/10/2020"
"00017-6 X COM ATÉ 06 HR    0315 00725 SP SAO PAULO                 SAO MIGUEL PAULISTA      AV. MARECHAL TITO,2501               00000006586654     3.253,08          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0316 00726 SP SAO PAULO                 JARDIM PIRITUBA          AV. RAIMUNDO PEREIRA DE MAGALHAES,11 00000006586667     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0317 00727 SP SAO PAULO                 PARQUE CRUZEIRO DO SUL   AV. DOUTOR CUSTODIO DE LIMA,297      00000006879248     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0318 00728 SP SAO PAULO                 VILA GUILHERME           AV. MORVAN DIAS DE FIGUEIREDO,6157   00000006626174     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0319 00729 SP CARAPICUIBA               VILA MUNICIPAL           AV. ANTONIO FAUSTINO DOS SANTOS,310  00000006680660     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0320 00730 SP COTIA                     JARDIM DINORAH           AV. PROFESSOR JOSE BARRETO,1217      00000006615431     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0321 00731 SP SUZANO                    VILA MALUF               RUA VEREADOR JOAO BATISTA FITIPALD,3 00000006272010     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0322 00732 SP GUARULHOS                 JARDIM SAO GERALDO       AV. OTAVIO BRAGA DE MESQUITA,3116    00000006102923     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0323 00733 SP MAUA                      JARDIM ITAPARK VELHO     AV. ITAPARK,3633                     00000006893033     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0324 00734 SP SANTO ANDRE               CENTRO                   AV. QUEIROS DOS SANTOS,888           00000006585998     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0325 00735 SP ITAPEVI                   SAO JOAO                 RODOVIA ENGENHEIRO RENE BENEDI,965   00000006896470     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0326 00736 SP SAO BERNARDO DO CAMPO     PLANALTO                 AV. PIRAPORINHA,839                  00000006708490     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0327 00737 SP GUARUJA                   CACHOEIRA                AV. TANCREDO NEVES,191               00000006257080     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0328 00738 SP PRAIA GRANDE              GUILHERMINA              AV. PRESIDENTE KENNEDY,1876          00000006268037     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0329 00739 SP SANTOS                    CHICO DE PAULA           AV. NOSSA SENHORA DE FATIMA,298      00000006268040     1.102,17          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0330 00740 SP BAURU                     NUCLEO RESIDENCIAL PRESI AV. NACOES UNIDAS,50                 00000006806415     1.624,51          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0331 00741 SP CAMPINAS                  JARDIM SANTA GENEBRA     RODOVIA DOM PEDRO I,S/N              00000006272007     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0332 00742 SP CAMPINAS                  JARDIM YEDA              AV. RUY RODRIGUEZ,3100               00000006102868     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0333 00743 SP CAMPINAS                  JARDIM AURELIA           AV. IMPERIO DO SOL NASCENTE,6946     00000006102870     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0334 00744 SP LIMEIRA                   PARQUE EGISTO RAGAZZO    RUA MIGUEL GUIDOTTI,2315             00000006586641     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0335 00745 SP PIRACICABA                SANTA TEREZINHA          RUA RICARDO MELOTTO,578              00000006910013     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0336 00748 SP ARARAQUARA                7o DISTRITO INDUSTRIAL   AV. AROEIRAS,285                     00000006915746     1.102,17          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0337 00750 SP SAO JOSE DO RIO PRETO     VILA SANTA CRUZ          RUA SILVA JARDIM,4141                00000006570152     1.624,51          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0010
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00048-5 VISITAS COM 2 HOR  0338 00754 SP RIBEIRAO PRETO            CONJUNTO HABITACIONAL JA AV. HENRI NESTLE,100                 00000006926036     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0339 00756 SP SAO JOSE DOS CAMPOS       VILA INDUSTRIAL          AV. PRESIDENTE JUSCELINO KUBITSCHE,6 00000006723158     1.102,17          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0340 00757 SP MARILIA                   JARDIM RIVIERA           RUA LUIZ GABALDI FILHO,50            00000006102920     1.624,51          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0341 00759 SP FRANCA                    SAO MIGUEL               AV. RIO NEGRO,1200                   00000006910424     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0342 00760 SP TAUBATE                   CAMPOS ELISEOS           AV. DOM PEDRO I,3060                 00000006893017     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0343 00762 SP SANTA BARBARA D OESTE     LOTEAMENTO INDUSTRIAL    RUA DA AGRICULTURA,3650              00000006102871     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0344 00763 SP ATIBAIA                   RECREIO ESTORIL          RUA SEVER DO VOUGA,295               00000006102921     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0345 00765 SP JUNDIAI                   JARDIM LIBERDADE         AV. ANTONIO FREDERICO OZANAN,4501    00000006103266     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0346 00767 SP JANDIRA                   NUCLEO MICRO INDUSTRIAL  AV. JOÃO VICENTE DO NASCIMENTO,400   00000006103350     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0347 00768 SP BARUERI                   TAMBORE                  AV. PIRACEMA,1605                    00000006103268     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0348 00770 SP CARAGUATATUBA             TRAVESSÃO                AV. JOSE HERCULANO,S/N               00000006103608     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0349 00772 SP FERRAZ DE VASCONCELOS     JARDIM ANCHIETA          AV. PRESIDENTE TANCREDO DE ALMEIDA,1 00000006104253     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0350 00803 SP JACAREI                   PARQUE MEIA LUA          RODOVIA PRESIDENTE DUTRA,KM161       00000006103265     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0351 00804 SP SOROCABA                  JARDIM SANTA ROSALIA     RUA MARIA CINTO DE BIAGGI,377        00000006102922     1.102,17          0,00  01/10/2020 31/10/2020"
"00015-DIÁRIA - 2 HORAS     0352 02615 SP SANTO ANDRE               VILA METALURGICA         AV. DOS ESTADOS 4700,5200            00000006107204     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0353 02903 SP GUARULHOS                 CUMBICA                  RODOVIA PRESIDENTE DUTRA,S/N         00000006254119     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0354 03987 SP RIBEIRAO PRETO            CAMPOS ELISEOS           AV. EDUARDO ANDREA MATARAZZO,4045    00000006111441     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0355 03995 SP MOGI DAS CRUZES           CENTRO                   RUA IPIRANGA,1418                    00000006111585     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0356 04153 SP SAO CARLOS                LOTEAMENTO HABITACIONAL  RUA MIGUEL PETRONI,5170              00000006111630     1.102,17          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0357 04909 SP PRESIDENTE PRUDENTE       VILA NOVA PRUDENTE       AV. JOAQUIM CONSTANTINO,3025         00000006112835     1.624,51          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0358 05136 SP SOROCABA                  PARQUE CAMPOLIM          RUA FRANCISCO MORON FERNANDES,1275   00000006113600     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0359 05198 SP OSASCO                    CENTRO                   AV. DOS AUTONOMISTAS,1542            00000006113389     1.102,17          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0360 10082 SP SAO JOSE DO RIO PRETO     JARDIM MARAJO            AV. ALFREDO ANTONIO DE OLIVEIRA,3415 00000006113104     1.624,51          0,00  01/10/2020 31/10/2020"
"00099-6 VISITAS - 3 HORAS  0361 10390 SP BARRETOS                  JOCKEY CLUB              AV. ANTONIO JOSE JUNQUEIRA DE AZEV,3 00000006115414     1.624,51          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0362 10480 SP ITANHAEM                  JD BELAS ARTES           RUA PRINCIPAL JORDÃO BRAMBILLA,2061  00000006115415     1.102,17          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0363 11278 SP SAO VICENTE               CATIAPOA                 AV. PENEDO,585                       00000006117417     1.102,17          0,00  01/10/2020 31/10/2020"
"00102-5 VISITAS ATÉ 2H     0364 11906 SP RIBEIRAO PIRES            SANTANA                  AV. FRANCISCO MONTEIRO               00000006119579     1.059,78          0,00  01/10/2020 31/10/2020"
"00048-5 VISITAS COM 2 HOR  0365 11908 SP ARACATUBA                 CASA NOVA                RUA CLIBAS DE ALMEIDA PRADO          00000006119586     1.102,17          0,00  01/10/2020 31/10/2020"
"00014-6 X ATÉ  01 HORA DI  0366 01588 TO PALMAS                    PLANO DIRETOR SUL        OUTROS 912 SUL ALAMEDA 15,SN LOTE 1- 00000006732181       551,09          0,00  01/10/2020 31/10/2020"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"Total Vencimentos:       Rede No 0017 - ATACADÃO                               298.931,79          0,00            298.931,79"
""
"Total da rede(0017)....: ATACADÃO                                              298.931,79          0,00            298.931,79"
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
Rede No 0021 - SHIBATA
"00002-2 VISITAS SEMANAIS   0367 00583 SP BIRITIBA-MIRIM            ERNESTO ARIAS            AV. FERDINANDO JUNGERS,264           00000006670942       249,92          0,00  01/10/2020 31/10/2020"
"00002-2 VISITAS SEMANAIS   0368 00584 SP MOGI DAS CRUZES           VILA INDUSTRIAL          AV. CAVALHEIRO NAMI JAFET,343        00000006815561       249,92          0,00  01/10/2020 31/10/2020"
"00002-2 VISITAS SEMANAIS   0369 00585 SP MOGI DAS CRUZES           CENTRO                   RUA OLEGARIO PAIVA,565               00000006709004       249,92          0,00  01/10/2020 31/10/2020"
"00002-2 VISITAS SEMANAIS   0370 00586 SP ITAQUAQUECETUBA           VILA MONTE BELO          RUA PIRAJU,499                       00000006670913       249,92          0,00  01/10/2020 31/10/2020"
"00002-2 VISITAS SEMANAIS   0371 00587 SP CARAGUATATUBA             JARAGUAZINHO             AV. PRESIDENTE CAMPOS SALLES,297     00000006680916       249,92          0,00  01/10/2020 31/10/2020"
"00002-2 VISITAS SEMANAIS   0372 00588 SP CARAGUATATUBA             CENTRO                   AV. OSWALDO CRUZ,276                 00000006650234       249,92          0,00  01/10/2020 31/10/2020"
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
COMPARTILHAR PROMO EIRELI - EPP                         Relatório do faturamento - realizado - 21/10/2020  15h25             SFE5003(SFE5003F)                                        Folha: 0011
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
Tarefas                    Seq   Loja UF Cidade                    Bairro                   Endereço                             CNPJ/Matrícula  Valor mensal    Valor 13o. Dat.Inicio   Data fim
-------------------------- ---- ----- -- ------------------------- ------------------------ ------------------------------------ -------------- ------------- ------------- ---------- ----------
"00002-2 VISITAS SEMANAIS   0373 00589 SP TAUBATE                   JARDIM MARIA AUGUSTA     AV. BANDEIRANTES,808                 00000006664796       249,92          0,00  01/10/2020 31/10/2020"
"00002-2 VISITAS SEMANAIS   0374 00590 SP TAUBATE                   JARDIM DAS NACOES        AV. PROFESSOR WALTER THAUMATURGO,116 00000006670939       249,92          0,00  01/10/2020 31/10/2020"
"00002-2 VISITAS SEMANAIS   0375 00591 SP JACAREI                   CENTRO                   RUA DOUTOR POMPILIO MERCADANTE,196   00000006671718       249,92          0,00  01/10/2020 31/10/2020"
"00002-2 VISITAS SEMANAIS   0376 00592 SP APARECIDA                 JARDIM PARAÍBA           AV. SÓLON PEREIRA,500                00000006927200       249,92          0,00  01/10/2020 31/10/2020"
